Starting Inheritance SGA Optimization
Feature count range: 30 -> 10

=== Current Feature Count: 30 ===
  Gen 10 | Best MCC: 0.1874
  Gen 20 | Best MCC: 0.2908
  Gen 30 | Best MCC: 0.2908
  Gen 40 | Best MCC: 0.2908
  Gen 50 | Best MCC: 0.2908
  Gen 60 | Best MCC: 0.2908
  Gen 70 | Best MCC: 0.2908
  Gen 80 | Best MCC: 0.2908
  Gen 90 | Best MCC: 0.2937
  Gen 100 | Best MCC: 0.2937
  Gen 110 | Best MCC: 0.2937
  Gen 120 | Best MCC: 0.2937
  Gen 130 | Best MCC: 0.2937
  Gen 140 | Best MCC: 0.2937
  Gen 150 | Best MCC: 0.2937
  Gen 160 | Best MCC: 0.2937
  Gen 170 | Best MCC: 0.2937
  Gen 180 | Best MCC: 0.2958
  Gen 190 | Best MCC: 0.2958
  Gen 200 | Best MCC: 0.2958
  Gen 210 | Best MCC: 0.2958
  Gen 220 | Best MCC: 0.2958
  Gen 230 | Best MCC: 0.2958
  Gen 240 | Best MCC: 0.2958
  Gen 250 | Best MCC: 0.2958
  Gen 260 | Best MCC: 0.2958
  Gen 270 | Best MCC: 0.3173
  Gen 280 | Best MCC: 0.3173
  Gen 290 | Best MCC: 0.3173
  Gen 300 | Best MCC: 0.3233
  Gen 310 | Best MCC: 0.3737
  Gen 320 | Best MCC: 0.3737
  Gen 330 | Best MCC: 0.3737
  Gen 340 | Best MCC: 0.3737
  Gen 350 | Best MCC: 0.3737
  Gen 360 | Best MCC: 0.3737
  Gen 370 | Best MCC: 0.3737
  Gen 380 | Best MCC: 0.3737
  Gen 390 | Best MCC: 0.3737
  Gen 400 | Best MCC: 0.3737
  Gen 410 | Best MCC: 0.4053
  Gen 420 | Best MCC: 0.4053
  Gen 430 | Best MCC: 0.4053
  Gen 440 | Best MCC: 0.4197
  Gen 450 | Best MCC: 0.4540
  Gen 460 | Best MCC: 0.5068
  Gen 470 | Best MCC: 0.5296
  Gen 480 | Best MCC: 0.5323
  Gen 490 | Best MCC: 0.5323
  Gen 500 | Best MCC: 0.5565
  Gen 510 | Best MCC: 0.5565
  Gen 520 | Best MCC: 0.5565
  Gen 530 | Best MCC: 0.5565
  Gen 540 | Best MCC: 0.5565
  Gen 550 | Best MCC: 0.5565
  Gen 560 | Best MCC: 0.5565
  Gen 570 | Best MCC: 0.5565
  Gen 580 | Best MCC: 0.5565
  Gen 590 | Best MCC: 0.5565
  Gen 600 | Best MCC: 0.5565
  Gen 610 | Best MCC: 0.5600
  Gen 620 | Best MCC: 0.5600
  Gen 630 | Best MCC: 0.5600
  Gen 640 | Best MCC: 0.5890
  Gen 650 | Best MCC: 0.5890
  Gen 660 | Best MCC: 0.5890
  Gen 670 | Best MCC: 0.5890
  Gen 680 | Best MCC: 0.5890
  Gen 690 | Best MCC: 0.5890
