logFC,AveExpr,t,P.Value,adj.P.Val,B
X339_.hsa.mir.29b.2,-3.0694908412494,7.83031205992067,-23.2701009459669,1.99407569770948e-77,9.39209653621164e-75,165.816687767367
X388_.hsa.mir.3136,-2.33102271387379,1.53596296258413,-22.8372624315849,1.62495225103678e-75,3.82676255119161e-73,161.429853372642
X596_.hsa.mir.375,-3.38783990173136,2.9322633535,-21.7238502225084,1.39436000900036e-70,2.18914521413057e-68,150.1051505175
X338_.hsa.mir.29b.1,-3.36328519433661,7.47633313217788,-21.5328932167177,9.82821969541341e-70,1.15727286913493e-67,148.158396502403
X1317_.hsa.mir.5586,-3.29782313855795,1.72437531663221,-19.835235855678,3.49315049537913e-62,3.29054776664714e-60,130.827040882496
X1677_.hsa.mir.6854,-2.2816112111191,1.97156559355048,-19.6147574828068,3.34024436023893e-61,2.62209182278756e-59,128.576513398932
X192_.hsa.mir.145,-3.86507246326262,6.89477882950962,-19.1224474339307,5.14823133988983e-59,3.46402423012587e-57,123.555222452373
X951_.hsa.mir.4668,-2.96324301532468,1.95505935356971,-18.644457088483,6.80151511664147e-57,4.00439202492267e-55,118.687862466035
X235_.hsa.mir.188,-2.47906517358593,1.79865155147115,-18.4263983132592,6.290896096259e-56,3.29223562370888e-54,116.470865293243
X1396_.hsa.mir.598,-3.44929883880545,3.1869274455649,-18.3003111026888,2.27426101790167e-55,1.07117693943169e-53,115.190125683746
X1122_.hsa.mir.500b,-2.79949614828048,3.20802878072596,-18.1194729813219,1.43422242244251e-54,6.14107964518565e-53,113.354924945891
X492_.hsa.mir.339,-2.7386603377094,6.4416893722476,-17.8019889944586,3.618009154642e-53,1.42006859319698e-51,110.138328224224
X120_.hsa.mir.1277,-2.24296153658092,1.97063631736298,-17.4199386409171,1.74190795888659e-51,5.96262534540011e-50,106.277938522983
X210_.hsa.mir.1537,-2.38578073155431,1.91710951195433,-17.4182285192151,1.77233025128666e-51,5.96262534540011e-50,106.260686955261
X1356_.hsa.mir.570,-1.61864528485238,1.01150522258173,-17.1894495620066,1.79244574952112e-50,5.6282796534963e-49,103.955246286936
X496_.hsa.mir.342,-2.69424797615992,8.9811881530649,-17.082204523363,5.29380656934637e-50,1.55836430885134e-48,102.876280894488
X117_.hsa.mir.1273h,-1.96772613368371,1.53475465889663,-16.1410890582373,6.71515053241303e-46,1.86049170633326e-44,93.4643331023251
X309_.hsa.mir.223,-2.12248212708038,14.3473491662019,-16.0668949491051,1.40756629716021e-45,3.68313181090255e-44,92.7272076759538
X201_.hsa.mir.148a,-3.29878553218837,12.4955398896034,-15.8370194830917,1.38712110493958e-44,3.43860021277128e-43,90.4485138478598
X519_.hsa.mir.362,-2.28307312999827,3.57275597902163,-15.1522699077522,1.20335432748556e-41,2.83389944122849e-40,83.7114458927745
X1835_.hsa.mir.874,-2.82489562015655,5.62818780861058,-15.0204783458335,4.38366771384788e-41,9.83194044391596e-40,82.4243552083016
X357_.hsa.mir.30d,1.26105253771006,13.9840039603125,15.000436788029,5.33448643851829e-41,1.14206505115551e-39,82.2289179349817
X1512_.hsa.mir.654,-3.60874164706643,2.08440624579567,-14.7844418838868,4.40326695124058e-40,9.01712493058398e-39,80.1276454013137
X543_.hsa.mir.3662,-1.47670679183288,1.12086857662981,-14.5572912819787,4.01246981490562e-39,7.87447201175228e-38,77.9281492295054
X314_.hsa.mir.2355,-2.42175748504419,7.05641192098798,-14.4656434930194,9.7558142214598e-39,1.83799539932303e-37,77.0438459382399
X869_.hsa.mir.450a.2,-2.93356162724941,2.28436615848798,-14.4126467002362,1.6294053582562e-38,2.95173047591796e-37,76.5333265019006
X1130_.hsa.mir.505,-1.96182759425861,6.70850744177404,-14.3911201874812,2.00649033527459e-38,3.50021091820124e-37,76.3261397667398
